Alpha,kite_1000_T1-0_8 m_s-LLT, , Alpha,kite_1004_T1-0_8 m_s-LLT, , Alpha,kite_1152_T1-0_8 m_s-LLT, , Alpha,kite_1154_T1-0_8 m_s-LLT, , Alpha,kite_1304_T1-0_8 m_s-LLT, , 
          -14,     -1.199281, ,           -14,     -1.412761, ,           -14,     -1.392508, ,           -14,     -1.429565, ,           -14,     -1.553858, , 
        -13.5,     -1.197748, ,         -13.5,      -1.40597, ,         -13.5,      -1.41701, ,           -13,     -1.476851, ,         -13.5,     -1.520783, , 
          -13,     -1.130635, ,           -13,     -1.389697, ,           -13,     -1.357825, ,         -12.5,     -1.460657, ,           -13,     -1.476045, , 
        -12.5,     -1.105529, ,         -12.5,     -1.335267, ,           -12,     -1.634207, ,           -12,     -1.432219, ,         -12.5,     -1.421465, , 
          -12,     -1.082542, ,           -12,     -1.323097, ,         -11.5,     -1.594801, ,         -11.5,      -1.36372, ,           -12,     -1.370236, , 
        -11.5,     -1.185496, ,         -11.5,     -1.295121, ,           -11,     -1.673395, ,           -11,      -1.32238, ,         -11.5,     -1.382839, , 
          -11,     -1.248258, ,           -11,     -1.408214, ,         -10.5,     -1.564649, ,         -10.5,     -1.298996, ,         -10.5,     -1.744762, , 
        -10.5,     -1.221417, ,         -10.5,     -1.360473, ,           -10,     -1.461681, ,           -10,     -1.314992, ,           -10,     -1.752635, , 
          -10,     -1.393659, ,           -10,     -1.309283, ,          -9.5,     -1.392446, ,          -9.5,     -1.216244, ,          -9.5,     -1.652072, , 
         -9.5,     -1.298848, ,          -9.5,     -1.489859, ,            -9,     -1.283817, ,            -9,     -1.327558, ,            -9,     -1.533869, , 
           -9,     -1.235116, ,            -9,     -1.374695, ,          -8.5,     -1.477908, ,          -8.5,     -1.528969, ,          -8.5,     -1.392141, , 
         -8.5,     -1.505339, ,          -8.5,     -1.277403, ,            -8,     -1.340614, ,            -8,     -1.376448, ,            -8,     -1.253045, , 
           -8,     -1.404088, ,            -8,     -1.439059, ,          -7.5,     -1.208512, ,          -7.5,     -1.238307, ,          -7.5,     -1.115725, , 
         -7.5,     -1.576007, ,          -7.5,     -1.310099, ,            -7,     -1.080933, ,            -7,     -1.106389, ,            -7,     -0.983822, , 
           -7,     -1.441647, ,            -7,      -1.18768, ,          -6.5,    -0.9571881, ,          -6.5,    -0.9776989, ,          -6.5,    -0.8556622, , 
         -6.5,     -1.315136, ,          -6.5,     -1.063454, ,            -6,    -0.8399692, ,            -6,    -0.8563469, ,            -6,    -0.7325524, , 
           -6,     -1.189663, ,            -6,    -0.9452364, ,          -5.5,    -0.7277328, ,          -5.5,    -0.7416601, ,          -5.5,    -0.6184452, , 
         -5.5,     -1.068405, ,          -5.5,    -0.8330007, ,            -5,    -0.6116239, ,            -5,    -0.6305832, ,            -5,    -0.5080167, , 
           -5,    -0.9557185, ,            -5,    -0.7345155, ,          -4.5,    -0.5066863, ,          -4.5,    -0.5312629, ,          -4.5,    -0.3987381, , 
         -4.5,    -0.8478956, ,          -4.5,    -0.6380522, ,            -4,    -0.4014691, ,            -4,    -0.4239432, ,            -4,     -0.297948, , 
           -4,    -0.7473043, ,            -4,    -0.5451613, ,          -3.5,    -0.2989573, ,          -3.5,    -0.3306603, ,          -3.5,    -0.2274089, , 
         -3.5,    -0.6510015, ,          -3.5,    -0.4568409, ,            -3,    -0.2186911, ,            -3,    -0.2314491, ,            -3,    -0.1624432, , 
           -3,    -0.5506277, ,            -3,     -0.366959, ,          -2.5,     -0.148515, ,          -2.5,    -0.1672364, ,          -2.5,    -0.1122706, , 
         -2.5,    -0.4634828, ,          -2.5,    -0.2791487, ,            -2,   -0.09373231, ,            -2,   -0.09755002, ,            -2,     0.1274501, , 
           -2,    -0.3717944, ,            -2,    -0.1764196, ,          -1.5,     0.1212584, ,          -1.5,    0.07710402, ,          -1.5,     0.2635788, , 
         -1.5,     -0.281024, ,          -1.5,    -0.1099723, ,            -1,     0.2530401, ,            -1,     0.2053505, ,            -1,     0.3761658, , 
           -1,    -0.1829398, ,            -1,   -0.04181184, ,          -0.5,     0.3635362, ,          -0.5,     0.3191877, ,          -0.5,     0.5073902, , 
         -0.5,    -0.0838466, ,          -0.5,      0.144999, ,             0,     0.5010443, ,             0,      0.450968, ,             0,     0.6325775, , 
            0,    0.06762162, ,             0,     0.2429872, ,           0.5,     0.6097242, ,           0.5,     0.5856446, ,           0.5,      0.768295, , 
          0.5,     0.1350178, ,           0.5,      0.367015, ,             1,     0.7442914, ,             1,     0.6999034, ,             1,     0.9105486, , 
            1,     0.2751751, ,             1,     0.4780142, ,           1.5,     0.8861746, ,           1.5,     0.8498679, ,           1.5,       1.05489, , 
          1.5,     0.3687887, ,           1.5,     0.6185844, ,             2,      1.025338, ,             2,     0.9910099, ,             2,      1.183752, , 
            2,     0.4962785, ,             2,     0.7501862, ,           2.5,      1.158664, ,           2.5,      1.133136, ,           2.5,      1.334152, , 
          2.5,     0.6574254, ,           2.5,     0.8772562, ,             3,      1.316214, ,             3,      1.299172, ,             3,      1.463526, , 
            3,     0.7625807, ,             3,      1.014753, ,           3.5,      1.457785, ,           3.5,       1.44392, ,           3.5,      1.592356, , 
          3.5,     0.9072005, ,           3.5,      1.162487, ,             4,      1.567782, ,             4,      1.562997, ,             4,      1.735149, , 
            4,      1.076645, ,             4,      1.309979, ,           4.5,      1.701793, ,           4.5,      1.710194, ,           4.5,      1.846083, , 
          4.5,      1.227688, ,           4.5,      1.460326, ,             5,       1.81174, ,             5,      1.844856, ,             5,      1.991154, , 
            5,      1.354524, ,             5,       1.57453, ,           5.5,      1.931659, ,           5.5,      1.966249, ,           5.5,      2.076539, , 
          5.5,      1.520138, ,           5.5,       1.70306, ,             6,      2.047308, ,             6,      2.106519, ,             6,      2.198661, , 
            6,       1.61635, ,             6,      1.800296, ,           6.5,      2.154559, ,           6.5,      2.234032, ,           6.5,       2.33498, , 
          6.5,      1.701182, ,           6.5,      1.919716, ,             7,      2.277696, ,             7,      2.360279, ,             7,       2.45772, , 
            7,       1.79188, ,             7,      2.046835, ,           7.5,      2.405552, ,           7.5,      2.502359, ,           7.5,      2.565582, , 
          7.5,      1.914833, ,           7.5,      2.189114, ,             8,      2.524748, ,             8,      2.635501, ,             8,      2.714336, , 
            8,      2.049358, ,             8,      2.298953, ,           8.5,      2.656525, ,           8.5,      2.746927, ,           8.5,      2.822671, , 
          8.5,      2.152436, ,           8.5,      2.449123, ,             9,      2.768999, ,             9,      2.880572, ,             9,      2.947793, , 
            9,      2.288392, ,             9,      2.586561, ,           9.5,      2.884412, ,           9.5,      2.975749, ,           9.5,      3.017424, , 
          9.5,      2.397928, ,           9.5,      2.757907, ,            10,      2.942828, ,            10,      3.031415, ,            10,      3.104054, , 
           10,      2.573033, ,            10,      2.879049, ,          10.5,      3.002939, ,          10.5,      3.110491, ,          10.5,      3.209601, , 
         10.5,      2.695649, ,          10.5,      2.980348, ,            11,      3.077648, ,          11.5,      3.230762, ,            11,      3.297511, , 
           11,      2.816658, ,            11,      3.045272, ,          11.5,      3.143831, ,            12,       3.30511, ,          11.5,      3.330662, , 
         11.5,       2.93544, ,          11.5,      3.092112, ,            12,      3.209111, ,            13,      3.393854, ,            12,      3.375614, , 
           12,      3.013588, ,            12,      3.156847, ,          12.5,      3.234868, ,          13.5,      3.245735, ,            13,      3.269871, , 
         12.5,      3.073176, ,          12.5,      3.222762, ,            13,      3.278391, ,            14,      3.284996, ,          13.5,      3.325612, , 
           13,      3.108219, ,            13,      3.252721, ,          13.5,      3.348394, , , , ,            14,      3.350942, , 
         13.5,      3.137157, ,          13.5,       3.28086, ,            14,      3.377518, , , , , , , , 
           14,      3.175607, ,            14,      3.322469, , , , , , , , , , , 

